127.0.0.1 - - [01/Nov/2015:13:23:46 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:23:52 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 200 151
127.0.0.1 - - [01/Nov/2015:13:23:55 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:24:32 +0530] "GET /MusicEra/ HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:24:32 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:24:32 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:24:33 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:27:29 +0530] "GET /MusicEra/ HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:27:29 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:27:29 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:30:13 +0530] "GET /MusicEra/ HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:30:13 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:30:13 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:30:19 +0530] "GET /MusicEra/ HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:30:19 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:30:19 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:30:32 +0530] "GET /MusicEra/ HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:30:32 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:30:32 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:13:30:48 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:07:29 +0530] "GET /MusicEra/ HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:07:29 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:07:29 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:08:32 +0530] "GET /MusicEra/ HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:08:32 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:08:32 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:08:55 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:11:28 +0530] "GET /MusicEra/ HTTP/1.1" 200 515
