127.0.0.1 - - [24/Feb/2016:15:24:14 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:24:19 +0530] "GET /CoderHub/ HTTP/1.1" 200 5876
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:24:19 +0530] "GET /CoderHub/CSS/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:24:19 +0530] "GET /CoderHub/images/coder.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:24:19 +0530] "GET /CoderHub/images/desk.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:25:09 +0530] "GET /CoderHub/ HTTP/1.1" 200 5876
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:25:09 +0530] "GET /CoderHub/images/desk.jpg HTTP/1.1" 200 170835
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:25:09 +0530] "GET /CoderHub/CSS/header.css HTTP/1.1" 200 4092
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:25:09 +0530] "GET /CoderHub/images/coder.png HTTP/1.1" 200 30338
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:25:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:27:05 +0530] "GET /CoderHub/work.jsp HTTP/1.1" 200 47841
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:27:21 +0530] "GET /CoderHub/howwork.jsp HTTP/1.1" 200 11554
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:27:35 +0530] "POST /CoderHub/postProject.jsp HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:27:40 +0530] "GET /CoderHub/postProjects.jsp HTTP/1.1" 200 9071
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:36:39 +0530] "GET /CoderHub/forgot.jsp HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:37:16 +0530] "GET /CoderHub/howwork.jsp HTTP/1.1" 200 11554
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:39:09 +0530] "GET /CoderHub/AboutUs.jsp HTTP/1.1" 200 6452
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:39:09 +0530] "GET /CoderHub/images/about.jpg HTTP/1.1" 200 337951
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:39:09 +0530] "GET /CoderHub/images/overview.jpg HTTP/1.1" 200 35136
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:39:28 +0530] "GET /CoderHub/ContacUs.jsp HTTP/1.1" 200 6481
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:39:28 +0530] "GET /CoderHub/images/cmap.png HTTP/1.1" 200 53145
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:39:37 +0530] "GET /CoderHub/howwork.jsp HTTP/1.1" 200 11554
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:39:45 +0530] "GET /CoderHub/AboutUs.jsp HTTP/1.1" 200 6452
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:39:59 +0530] "GET /CoderHub/ContacUs.jsp HTTP/1.1" 200 6481
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:40:46 +0530] "GET /CoderHub/CoderHub.jsp HTTP/1.1" 200 5876
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:41:07 +0530] "GET /CoderHub/work.jsp HTTP/1.1" 200 47841
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:41:28 +0530] "GET /CoderHub/ContacUs.jsp HTTP/1.1" 200 6481
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:47:35 +0530] "GET /CoderHub/ContacUs.jsp HTTP/1.1" 200 6477
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:47:35 +0530] "GET /CoderHub/CSS/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:47:35 +0530] "GET /CoderHub/images/coder.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:47:35 +0530] "GET /CoderHub/images/cmap.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2016:15:47:45 +0530] "GET /CoderHub/ContacUs.jsp HTTP/1.1" 200 6477
